path,subject,session,task,acq
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G1\Backup of Box 01 2023-07-14 14.04 Subject #043965_Minnie.txt,minnie,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G1\Backup of Box 02 2023-07-14 14.04 Subject #043966_Maisy.txt,maisy,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G1\Backup of Box 03 2023-07-14 14.04 Subject #043921_Angelina.txt,angelina,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G1\Backup of Box 04 2023-07-14 14.04 Subject #043922_Gadget.txt,gadget,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G2\Backup of Box 01 2023-07-14 15.14 Subject #043961_Mickey.txt,mickey,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G2\Backup of Box 02 2023-07-14 15.14 Subject #043962_Speedy.txt,speedy,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G2\Backup of Box 03 2023-07-14 15.14 Subject #043958_Jerry.txt,jerry,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G2\Backup of Box 04 2023-07-14 15.14 Subject #043959_Itchy.txt,itchy,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G3\Backup of Box 01 2023-07-14 15.45 Subject #043960_Remy.txt,remy,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G3\Backup of Box 02 2023-07-14 15.45 Subject #044401_Danger.txt,danger,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G3\Backup of Box 03 2023-07-14 15.45 Subject #044402_Pinky.txt,pinky,deval2.01,deval2,A
C:\Users\cnolan\OneDrive - UNSW\ACAN2023\Modules\Week 3_Conditioning Module\~RAW Data\230714_Deval1\G3\Backup of Box 04 2023-07-14 15.45 Subject #044403_Brain.txt,brain,deval2.01,deval2,A
